name,year,group,status,dob,birthplace,gender,alma_mater,spaceflights,spaceflight_hours,spacewalks,spacewalk_hours,missions
Joseph M. Acaba,2004,19,Active,5/17/1967,"Inglewood, CA",Male,University of California-Santa Barbara,2,3307,2,13,"STS-119 (Discovery), ISS-31/32 (Soyuz)"
Loren W. Acton,1985,10,Retired,3/7/1936,"Lewiston, MT",Male,Montana State University,1,190,0,0,STS 51-F (Challenger)
James C. Adamson,1984,10,Retired,3/3/1946,"Warsaw, NY",Male,US Military Academy,2,334,0,0,"STS-28 (Columbia), STS-43 (Atlantis)"
Thomas D. Akers,1987,12,Retired,5/20/1951,"St. Louis, MO",Male,University of Missouri-Rolla,4,814,4,29,"STS-41 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-79 (Atlantis)"
Buzz Aldrin,1963,3,Retired,1/20/1930,"Montclair, NJ",Male,US Military Academy,2,289,2,8,"Gemini 12, Apollo 11"
Andrew M. Allen,1987,12,Retired,8/4/1955,"Philadelphia, PA",Male,Villanova University,3,906,0,0,"STS-46 (Atlantis), STS-62 (Columbia), STS-75 (Columbia)"
Joseph P. Allen,1967,6,Retired,6/27/1937,"Crawsfordsville, IN",Male,DePauw University,2,313,2,12,"ST-5 (Columbia), STS 51-A (Discovery)"
Scott D. Altman,1995,15,Retired,8/15/1959,"Lincoln, IL",Male,University of Illinois,4,1236,0,0,"STS-90 (Columbia), STS-106 (Atlantis), STS-109 (Columbia), STS-125 (Atlantis)"
William A. Anders,1963,3,Retired,10/17/1933,Hong Kong,Male,US Naval Academy,1,147,0,0,Apollo 8
Clayton C. Anderson,1998,17,Retired,2/23/1959,"Omaha, NE",Male,Hastings College,2,4005,6,38,"STS-117/120 (Atlantis/Discovery), STS-131 (Discovery)"
Michael P. Anderson,1995,15,Deceased,12/25/1959,"Plattsburgh, NY",Male,University of Washington,2,594,0,0,"STS-89 (Endeavor), STS-107 (Columbia)"
Dominic A. Antonelli,2000,18,Active,8/23/1967,"Detroit, MI",Male,MIT,2,579,0,0,"STS-119 (Discovery), STS-132 (Atlantis)"
Jerome Apt III ,1985,11,Retired,4/18/1949,"Springfield, MA",Male,Harvard University,4,847,2,11,"STS-37 (Atlantis), STS-47 (Endeavor), STS-59 (Endeavor), STS-79 (Atlantis)"
Lee J. Archambault,1998,17,Retired,8/25/1960,"Oak Park, IL",Male,University of Illinois-Urbana,2,639,0,0,"STS-117 (Atlantis), STS-119 (Discovery)"
Neil A. Armstrong,1962,2,Deceased,8/5/1930,"Wapakoneta, OH",Male,Purdue University,2,205,1,2,"Gemini 8, Apollo 11"
Richard R. Arnold II ,2004,19,Active,11/26/1963,"Cheverly, MD",Male,Frostburg State University,1,307,2,12,STS-119 (Discovery)
Jeffrey S. Ashby,1995,15,Retired,6/1/1954,"Dallas, TX",Male,University of Idaho,3,655,0,0,"STS-93 (Columbia), STS-100 (Endeavor), STS-112 (Atlantis)"
Serena M. Aunon,2009,20,Active,4/9/1976,"Indianapolis, IN",Female,George Washington University,0,0,0,0,
James P. Bagian,1980,9,Retired,2/22/1952,"Philadelphia, PA",Male,Drexel University,2,337,0,0,"STS-29 (Discovery), STS-40 (Columbia)"
Ellen S. Baker,1984,10,Retired,4/27/1953,"Fayettesville, NC",Female,State University of New York-Buffalo,3,686,0,0,"STS-34 (Atlantis), STS-50 (Columbia), STS-71 (Atlantis)"
Michael A. Baker,1985,11,Management,10/27/1953,"Memphis, TN",Male,University of Texas,4,965,0,0,"STS-43 (Atlantis), STS-52 (Columbia), STS-68 (Endeavor), STS-81 (Atlantis)"
Michael R. Barratt,2000,18,Active,4/16/1959,"Vancouver, WA",Male,University of Washington,2,5075,1,5,"ISS-19/20 (Soyuz), STS-133 (Discovery)"
Daniel T. Barry,1992,14,Retired,12/30/1953,"Norwalk, CT",Male,Cornell University,3,733,4,26,"STS-72 (Endeavor), STS-96 (Discovery), STS-105 (Discovery)"
John-David F. Bartoe,1985,10,Retired,11/17/1944,"Abington, PA",Male,Lehigh University,1,190,0,0,STS 51-F (Challenger)
Charles A. Bassett II ,1963,3,Deceased,12/30/1931,"Dayton, OH",Male,Texas Technological College,0,0,0,0,
Alan L. Bean,1963,3,Retired,3/15/1932,"Wheeler, TX",Male,University of Texas,2,1671,3,10,"Apollo 12, Skylab 3"
Robert L. Behnken,2000,18,Active,7/28/1970,"Creve Couer, MO",Male,Washington University,2,708,6,37,"STS-123 (Endeavor), STS-130 (Endeavor)"
John E. Blaha,1980,9,Retired,8/26/1942,"San Antonio, TX",Male,US Air Force Academy,5,3861,0,0,"STS-29 (Discovery), STS-33 (Discovery), STS-43 (Atlantis), STS-58 (Columbia), STS-79/81 (Atlantis/Atlantis)"
Michael J. Bloomfield,1995,15,Retired,3/16/1959,"Flint, MI",Male,US Air Force Academy,3,779,0,0,"STS-86 (Atlantis), STS-97 (Endeavor), STS-110 (Atlantis)"
Guion S. Bluford Jr. ,1978,8,Retired,11/22/1942,"Philadelphia, PA",Male,Pennsylvania State University,4,689,0,0,"STS-8 (Challenger), STS 61-A (Challenger), STS-39 (Discovery), STS-53 (Discovery)"
Karol J. Bobko,1969,7,Retired,12/23/1937,"New York, NY",Male,US Air Force Academy,3,386,0,0,"STS-6 (Challenger), STS 51-D (Discovery), STS-51-J (Atlantis)"
Eric A. Boe,2000,18,Active,10/1/1964,"Miami, FL",Male,US Air Force Academy,2,687,0,0,"STS-126 (Endeavor), STS-133 (Discovery)"
Charles F. Bolden Jr. ,1980,9,Management,8/19/1946,"Columbia, SC",Male,US Naval Academy,4,680,0,0,"STS-61C (Columbia), STS-31 (Discovery), STS-45 (Atlantis), STS-60 (Discovery)"
Frank Borman,1962,2,Retired,3/14/1928,"Gary, IN",Male,US Military Academy,2,477,0,0,"Gemini 7, Apollo 8"
Stephen G. Bowen,2000,18,Active,2/13/1964,"Cohasset, MA",Male,US Naval Academy,3,970,7,47,"STS-126 (Endeavor), STS-132 (Atlantis), STS-133 (Discovery)"
Kenneth D. Bowersox,1987,12,Retired,11/14/1956,"Portsmouth, VA",Male,US Naval Academy,5,5078,2,13,"STS-50 (Columbia), STS-61 (Endeavor), STS-73 (Columbia), STS-82 (Discovery), STS-113 (Endeavor/Soyuz)"
Charles E. Brady Jr. ,1992,14,Deceased,8/12/1951,"Pinehurst, NC",Male,University of North Carolina at Chapel Hill,1,405,0,0,STS-78 (Columbia)
Vance D. Brand,1966,5,Retired,5/9/1931,"Longmont, CA",Male,University of Colorado,4,752,0,0,"Apollo-Soyuz Test Project, STS-5 (Columbia), STS 41-B (Challenger), STS-35 (Columbia)"
Daniel C. Brandenstein,1978,8,Retired,1/17/1943,"Watertown, WI",Male,University of Wisconsin,4,789,0,0,"STS-8 (Challenger), STS 51-G (Discovery), STS-32 (Columbia), STS-49 (Endeavor)"
Randolph J. Bresnik,2004,19,Active,9/11/1967,"Fort Knox, KY",Male,The Citadel,1,259,2,12,STS-129 (Atlantis)
Roy D. Bridges Jr. ,1980,9,Retired,7/19/1943,"Atlanta, GA",Male,US Air Force Academy,1,190,0,0,STS 51-F (Challenger)
Curtis L. Brown Jr. ,1987,12,Retired,3/11/1956,"Elizabethtown, NC",Male,US Air Force Academy,6,1383,0,0,"STS-47 (Endeavor), STS-66 (Atlantis), STS-77 (Endeavor), STS-85 (Discovery), STS-95 (Discovery), STS-103 (Discovery)"
David M. Brown,1996,16,Deceased,4/16/1956,"Arlington, VA",Male,College of William & Mary,1,382,0,0,STS-107 (Columbia)
Mark N. Brown,1984,10,Retired,11/18/1951,"Valparaiso, IN",Male,Purdue University,2,249,0,0,"STS 28 (Columbia), STS-48 (Discovery)"
James F. Buchli,1978,8,Retired,6/20/1945,"New Rockford, ND",Male,US Naval Academy,4,490,0,0,"STS 51-C (Discovery), STS 61-A (Challenger), STS-29 (Discovery), STS-48 (Discovery"
Jay Clark Buckey,1998,17,Retired,6/6/1956,"New York, NY",Male,Cornell University,1,381,0,0,STS-90 (Columbia)
John S. Bull,1966,5,Deceased,9/25/1934,"Memphis, TN",Male,Rice University,0,0,0,0,
Daniel C. Burbank,1996,16,Active,7/27/1961,"Machester, CT",Male,US Coast Guard Academy,3,4512,1,7,"STS-106 (Atlantis), STS-115 (Atlantis), ISS-29/30 (Soyuz)"
Daniel W. Bursch,1990,13,Retired,7/25/1957,"Bristol, PA",Male,US Naval Academy,4,5446,2,12,"STS-51 (Discovery), STS-68 (Endeavor), STS-77 (Endeavor), STS-108/111 (Endeavor)"
Robert D. Cabana,1985,11,Management,1/23/1949,"Minneapolis, MN",Male,US Naval Academy,4,910,0,0,"STS-41 (Discovery), STS-53 (Discovery), STS-65 (Columbia), STS-88 (Endeavor)"
